FLOWgpm     Hinches
30             2.39
30.2185906792  2.3932643823
40.2592395172  4.04811203257
50.6483389433  6.09241549963
61.3202600781  8.73355680565
81.6824905431  15.2101749271
101.768556148  23.115232768
119.755381237  30.0627838262
139.54594219  40.25699285
156.511014408  49.8697162604
173.878588506  60
